,Labels,precision,recall,f1
0,0,0.974593496,0.978571429,0.976578411
1,1,0.97147796,0.99030837,0.980802792
2,2,0.963488844,0.920542636,0.941526264
3,3,0.94482091,0.966336634,0.95545766
4,4,0.945866142,0.978615071,0.961961962
5,5,0.949561404,0.970852018,0.960088692
6,6,0.967539267,0.964509395,0.966021955
7,7,0.953694581,0.941634241,0.94762604
8,8,0.965189873,0.939425051,0.952133195
9,9,0.961770624,0.947472745,0.954568148
